year,institution_type,origination_count,origination_volume_000s
2010,Depository (bank),4366741,916066148.0
2010,Independent Mortgage Co (nonbank),610140,139764414.0
2010,Other/Unknown,1788021,398972417.0
2011,Depository (bank),3879755,809378869.0
2011,Independent Mortgage Co (nonbank),456170,103550275.0
2011,Other/Unknown,1610510,356434466.0
2015,Depository (bank),2864748,735175278.0
2015,Independent Mortgage Co (nonbank),280451,66295993.0
2015,Other/Unknown,2968224,705955033.0
2016,Depository (bank),3047560,828616577.0
2016,Independent Mortgage Co (nonbank),302183,73499916.0
2016,Other/Unknown,3686609,906739433.0
2017,Depository (bank),2533030,693836531.0
2017,Independent Mortgage Co (nonbank),154148,39425683.0
2017,Other/Unknown,3299481,806936226.0
2018,Depository (bank),7026791,1797185625000.0
2018,Independent Mortgage Co (nonbank),407295,123894685000.0
2018,Other/Unknown,286909,71921045000.0
2019,Depository (bank),8544955,2434511235000.0
2019,Independent Mortgage Co (nonbank),443198,139336010000.0
2019,Other/Unknown,337088,87892060000.0
2020,Depository (bank),13311452,4003008900000.0
2020,Independent Mortgage Co (nonbank),795795,245028095000.0
2020,Other/Unknown,434055,111952255000.0
2021,Depository (bank),13950516,4424761940000.0
2021,Independent Mortgage Co (nonbank),777993,251654205000.0
2021,Other/Unknown,268799,84404925000.0
2022,Depository (bank),7810934,2632703470000.0
2022,Independent Mortgage Co (nonbank),360661,133954915000.0
2022,Other/Unknown,222683,72911285000.0
2023,Depository (bank),5260091,1632600825000.0
2023,Independent Mortgage Co (nonbank),229642,82486860000.0
2023,Other/Unknown,201993,61430245000.0
